date,hours,$,provider,requirement ID,test-that-went-green,commit,fixture,seal_type,notes
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_subject_nesting_and_pairing,ec2006c89ceb0b96e53630278059c4e2b7130e04,development:subject_nesting_and_pairing,unsealed,"Owner 2A; synthetic development evidence, not sealed recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_subject_required_and_blank,ec2006c89ceb0b96e53630278059c4e2b7130e04,development:subject_required_and_blank,unsealed,"Owner 2A; synthetic development evidence, not sealed recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_declaration_values,ec2006c89ceb0b96e53630278059c4e2b7130e04,development:declaration_values,unsealed,"Owner 2A; synthetic development evidence, not sealed recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_record_write_gates_and_contents,ec2006c89ceb0b96e53630278059c4e2b7130e04,development:record_write_gates_and_contents,unsealed,"Owner 2A; synthetic development evidence, not sealed recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_record_exit_gate_detects_tampering,ec2006c89ceb0b96e53630278059c4e2b7130e04,development:record_exit_gate_detects_tampering,unsealed,"Owner 2A; synthetic development evidence, not sealed recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-13,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_demo_metadata,ec2006c89ceb0b96e53630278059c4e2b7130e04,development:demo_metadata,unsealed,"Owner 2A; synthetic development evidence, not sealed recall. Hours and cost unmetered; blank is unknown, not zero."
2026-09-14,,,OpenAI,R-160,docs/reviews/row_1_review.md:Cold-session sub-agent,ec2006c89ceb0b96e53630278059c4e2b7130e04,,unsealed,"Reviewer fresh-agent run is evidence of record at ec2006c; supplied entry files; harness also auto-loaded repository CLAUDE.md, so AGENTS.md is not isolated. Producer 77a12be counts/timings withdrawn as unverifiable; ec2006c method is producer-harness evidence only. Hours and cost unmetered."
2026-09-14,,,OpenAI,R-041,tests/run_tests.py:ExecutorSeamTests.test_00_slurm_default_is_byte_identical,77a12beaaec55cf85233eef3d43bf734d5db79e2,,unsealed,Comments removed under Q11 default; existing golden-byte test retained and green; reviewer reproduced at ec2006c. Hours and cost unmetered.
2026-09-14,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_seeded_declarations,,development:seeded_declarations,unsealed,Synthetic unsealed development evidence; targeted planted fault failed. Introduced in this review-round commit; hash not yet available. Hours and cost unmetered.
2026-09-14,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_declared_provenance,,development:declared_provenance,unsealed,Synthetic unsealed development evidence; targeted planted fault failed. Introduced in this review-round commit; hash not yet available. Hours and cost unmetered.
2026-09-14,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_paired_history_provenance,,development:paired_history_provenance,unsealed,Synthetic unsealed development evidence; targeted planted fault failed. Introduced in this review-round commit; hash not yet available. Hours and cost unmetered.
2026-09-14,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_paired_without_history_warning,,development:paired_without_history_warning,unsealed,Synthetic unsealed development evidence; targeted planted fault failed. Introduced in this review-round commit; hash not yet available. Hours and cost unmetered.
2026-09-15,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_history_requires_exact_key,,development:history_requires_exact_key,unsealed,Round 2 regression added/strengthened in this commit; hash unavailable before commit. Failed against c24be11 helper/example; green after fix. See row_1_change_report.md round 2. Hours and cost unmetered.
2026-09-15,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_history_requires_exact_value,,development:history_requires_exact_value,unsealed,Round 2 regression added/strengthened in this commit; hash unavailable before commit. Failed against c24be11 helper/example; green after fix. See row_1_change_report.md round 2. Hours and cost unmetered.
2026-09-15,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_history_selects_last_exact_entry,,development:history_selects_last_exact_entry,unsealed,Round 2 regression added/strengthened in this commit; hash unavailable before commit. Failed against c24be11 helper/example; green after fix. See row_1_change_report.md round 2. Hours and cost unmetered.
2026-09-15,,,OpenAI,R-072,tests/test_stage01_design.py:DevelopmentDesignTests.test_demo_metadata,,development:demo_metadata,unsealed,Round 2 regression added/strengthened in this commit; hash unavailable before commit. Failed against c24be11 helper/example; green after fix. See row_1_change_report.md round 2. Hours and cost unmetered.
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:d01,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:d02,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:d03,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:d04,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:d05,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:d06,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:d07,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:d08,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:d09,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c01,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c02,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c03,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c04,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c05,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c06,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c07,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c08,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c09,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:DevelopmentCatalogueTests.test_development_exit,,development:c10,unsealed,"Seed 801; producer-authored development only. Hours and cost unknown, not zero; commit is the containing step-A commit."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:SealedCatalogueTests.test_sealed_catalogue,945dceee73b6fe37b42e7cc7be02ca91473ccaf5,sealed:p01:5,independent_context,"Sealed by a fresh Codex context (0103); measured once at the reviewed head; the test's own §17 threshold assertion failed (exit 1), and this plant's verdict is read from its printed per-class line; caught. Seal fingerprint 18c842767c61d491c566200baeeca6733e76b99b2b812000b0b38342b4194401. Hours and cost unknown, not zero."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:SealedCatalogueTests.test_sealed_catalogue,945dceee73b6fe37b42e7cc7be02ca91473ccaf5,sealed:p02:0,independent_context,"Sealed by a fresh Codex context (0103); measured once at the reviewed head; the test's own §17 threshold assertion failed (exit 1), and this plant's verdict is read from its printed per-class line; not flagged. Seal fingerprint 18c842767c61d491c566200baeeca6733e76b99b2b812000b0b38342b4194401. Hours and cost unknown, not zero."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:SealedCatalogueTests.test_sealed_catalogue,945dceee73b6fe37b42e7cc7be02ca91473ccaf5,sealed:p03:0,independent_context,"Sealed by a fresh Codex context (0103); measured once at the reviewed head; the test's own §17 threshold assertion failed (exit 1), and this plant's verdict is read from its printed per-class line; not flagged. Seal fingerprint 18c842767c61d491c566200baeeca6733e76b99b2b812000b0b38342b4194401. Hours and cost unknown, not zero."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:SealedCatalogueTests.test_sealed_catalogue,945dceee73b6fe37b42e7cc7be02ca91473ccaf5,sealed:p04:8,independent_context,"Sealed by a fresh Codex context (0103); measured once at the reviewed head; the test's own §17 threshold assertion failed (exit 1), and this plant's verdict is read from its printed per-class line; caught. Seal fingerprint 18c842767c61d491c566200baeeca6733e76b99b2b812000b0b38342b4194401. Hours and cost unknown, not zero."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:SealedCatalogueTests.test_sealed_catalogue,945dceee73b6fe37b42e7cc7be02ca91473ccaf5,sealed:p05:4,independent_context,"Sealed by a fresh Codex context (0103); measured once at the reviewed head; the test's own §17 threshold assertion failed (exit 1), and this plant's verdict is read from its printed per-class line; caught. Seal fingerprint 18c842767c61d491c566200baeeca6733e76b99b2b812000b0b38342b4194401. Hours and cost unknown, not zero."
2026-09-24,,,OpenAI,R-114,tests/test_planted_defects.py:SealedCatalogueTests.test_sealed_catalogue,945dceee73b6fe37b42e7cc7be02ca91473ccaf5,sealed:p06:6,independent_context,"Sealed by a fresh Codex context (0103); measured once at the reviewed head; the test's own §17 threshold assertion failed (exit 1), and this plant's verdict is read from its printed per-class line; caught. Seal fingerprint 18c842767c61d491c566200baeeca6733e76b99b2b812000b0b38342b4194401. Hours and cost unknown, not zero."
2026-09-25,,,OpenAI,R-125,gars/tests/test_emit_report.py:EmitReportTests.test_doi_clean_reference_corpus,c047cf68414c48bc519a060ca67a41df788923e4,development:doi_clean_reference_corpus,unsealed,"DOI false-refusal lane (0130-0134), producer Codex, reviewed by fresh-context Claude Opus 5.5; development evidence on recorded replay, not a catch rate. Hours and cost unmetered; blank is unknown, not zero."
2026-09-25,,,OpenAI,R-125,gars/tests/test_emit_report.py:EmitReportTests.test_doi_fabricated_beside_verified,c047cf68414c48bc519a060ca67a41df788923e4,development:doi_fabricated_beside_verified,unsealed,"DOI false-refusal lane (0130-0134), producer Codex, reviewed by fresh-context Claude Opus 5.5; development evidence on recorded replay, not a catch rate. Hours and cost unmetered; blank is unknown, not zero."
2026-09-25,,,OpenAI,R-125,gars/tests/test_citation_resolution.py:CitationResolutionTests.test_marker_pattern_constant,c047cf68414c48bc519a060ca67a41df788923e4,development:doi_marker_pattern_constant,unsealed,"DOI false-refusal lane (0130-0134), producer Codex, reviewed by fresh-context Claude Opus 5.5; development evidence on recorded replay, not a catch rate. Hours and cost unmetered; blank is unknown, not zero."
2026-09-25,,,OpenAI,R-100,evals/review-faults/runs/29d9ab7fc987-claude-opus-5-5-20260925T170519Z.json,a77908474f2fc463f481a55f2d0c2ceeee8be660,review-faults:01,independent_context,"seal_sha256=88dd2265c28a0a2e819519769539e14a175b78f55c6cfe4819ca449c3d0cd115; plant_sha256=841094e4d0bc556c7c67756fee654ad5d91c35a6b903614e14824fcbf9d5d513; expected_sha256=e680363bcbf275763a0b36e229ecc498f69bd4fcb97480f6c3a7d24d4412b94d. P08 (race), sealed by a fresh Codex context (0074); measured once at the harness head by claude-opus-5-5 as a separate OS user, first-run-at-sha true; caught. The run as a whole: 10/10 catch, 2/15 records INVALID, thresholds not met (0074). Hours and cost unknown, not zero."
2026-09-25,,,OpenAI,R-100,evals/review-faults/runs/29d9ab7fc987-claude-opus-5-5-20260925T170519Z.json,a77908474f2fc463f481a55f2d0c2ceeee8be660,review-faults:02,independent_context,"seal_sha256=88dd2265c28a0a2e819519769539e14a175b78f55c6cfe4819ca449c3d0cd115; plant_sha256=5ca6558ba31cfb465877c01468e99ff7aebdf5464bfde59eea2822a8b19849a0; expected_sha256=07ca8d8f2bf3dc338d5204dcc40c6c5dcf1e255ed8cdb487457f2cafb4527ec7. P09 (hardcoded-secret), sealed by a fresh Codex context (0074); measured once at the harness head by claude-opus-5-5 as a separate OS user, first-run-at-sha true; caught. The run as a whole: 10/10 catch, 2/15 records INVALID, thresholds not met (0074). Hours and cost unknown, not zero."
2026-09-25,,,OpenAI,R-100,evals/review-faults/runs/29d9ab7fc987-claude-opus-5-5-20260925T170519Z.json,a77908474f2fc463f481a55f2d0c2ceeee8be660,review-faults:03,independent_context,"seal_sha256=88dd2265c28a0a2e819519769539e14a175b78f55c6cfe4819ca449c3d0cd115; plant_sha256=53d7c6422ef463d9190e0e5dfdecaede26685a12ce3c485eecbc5febf2990bac; expected_sha256=a50759e68d078a82e9570b995b2faf66f9368d042c49a7c05af75157dfb31d70. P10 (weakened-criterion), sealed by a fresh Codex context (0074); measured once at the harness head by claude-opus-5-5 as a separate OS user, first-run-at-sha true; caught. The run as a whole: 10/10 catch, 2/15 records INVALID, thresholds not met (0074). Hours and cost unknown, not zero."
